"Kod";"Nazwa";"Lokalizacja";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0201011;"Bolesławiec (1)";"ogółem";"2020";122;"-";"";
0201022;"Bolesławiec (2)";"ogółem";"2020";48;"-";"";
0201032;"Gromadka (2)";"ogółem";"2020";11;"-";"";
0201043;"Nowogrodziec (3)";"ogółem";"2020";61;"-";"";
0201045;"Nowogrodziec - obszar wiejski (5)";"ogółem";"2020";39;"-";"";
0201052;"Osiecznica (2)";"ogółem";"2020";36;"-";"";
0201062;"Warta Bolesławiecka (2)";"ogółem";"2020";22;"-";"";
0202011;"Bielawa (1)";"ogółem";"2020";76;"-";"";
0202021;"Dzierżoniów (1)";"ogółem";"2020";89;"-";"";
0202033;"Pieszyce (3)";"ogółem";"2020";25;"-";"";
0202041;"Piława Górna (1)";"ogółem";"2020";20;"-";"";
0202052;"Dzierżoniów (2)";"ogółem";"2020";37;"-";"";
0202062;"Łagiewniki (2)";"ogółem";"2020";20;"-";"";
0202073;"Niemcza (3)";"ogółem";"2020";15;"-";"";
0203011;"Głogów (1)";"ogółem";"2020";262;"-";"";
0203022;"Głogów (2)";"ogółem";"2020";29;"-";"";
0203032;"Jerzmanowa (2)";"ogółem";"2020";19;"-";"";
0203042;"Kotla (2)";"ogółem";"2020";17;"-";"";
0203052;"Pęcław (2)";"ogółem";"2020";5;"-";"";
0203062;"Żukowice (2)";"ogółem";"2020";13;"-";"";
0204013;"Góra (3)";"ogółem";"2020";90;"-";"";
0204022;"Jemielno (2)";"ogółem";"2020";10;"-";"";
0204032;"Niechlów (2)";"ogółem";"2020";14;"-";"";
0204043;"Wąsosz (3)";"ogółem";"2020";20;"-";"";
0205011;"Jawor (1)";"ogółem";"2020";75;"-";"";
0205023;"Bolków (3)";"ogółem";"2020";37;"-";"";
0205032;"Męcinka (2)";"ogółem";"2020";20;"-";"";
0205042;"Mściwojów (2)";"ogółem";"2020";9;"-";"";
0205052;"Paszowice (2)";"ogółem";"2020";16;"-";"";
0205062;"Wądroże Wielkie (2)";"ogółem";"2020";7;"-";"";
0206011;"Karpacz (1)";"ogółem";"2020";18;"-";"";
0206021;"Kowary (1)";"ogółem";"2020";22;"-";"";
0206031;"Piechowice (1)";"ogółem";"2020";18;"-";"";
0206041;"Szklarska Poręba (1)";"ogółem";"2020";15;"-";"";
0206052;"Janowice Wielkie (2)";"ogółem";"2020";16;"-";"";
0206062;"Jeżów Sudecki (2)";"ogółem";"2020";22;"-";"";
0206072;"Mysłakowice (2)";"ogółem";"2020";30;"-";"";
0206082;"Podgórzyn (2)";"ogółem";"2020";31;"-";"";
0206092;"Stara Kamienica (2)";"ogółem";"2020";11;"-";"";
0207011;"Kamienna Góra (1)";"ogółem";"2020";61;"-";"";
0207022;"Kamienna Góra (2)";"ogółem";"2020";30;"-";"";
0207033;"Lubawka (3)";"ogółem";"2020";27;"-";"";
0207042;"Marciszów (2)";"ogółem";"2020";18;"-";"";
0208011;"Duszniki-Zdrój (1)";"ogółem";"2020";7;"-";"";
0208021;"Kłodzko (1)";"ogółem";"2020";70;"-";"";
0208031;"Kudowa-Zdrój (1)";"ogółem";"2020";28;"-";"";
0208041;"Nowa Ruda (1)";"ogółem";"2020";74;"-";"";
0208051;"Polanica-Zdrój (1)";"ogółem";"2020";16;"-";"";
0208063;"Bystrzyca Kłodzka (3)";"ogółem";"2020";50;"-";"";
