"Kod";"Nazwa";"Wiek";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0201011;"Bolesławiec (1)";"ogółem";"ogółem";"2020";38486;"osoba";"";
0201011;"Bolesławiec (1)";"ogółem";"mężczyźni";"2020";18128;"osoba";"";
0201011;"Bolesławiec (1)";"ogółem";"kobiety";"2020";20358;"osoba";"";
0201022;"Bolesławiec (2)";"ogółem";"ogółem";"2020";14863;"osoba";"";
0201022;"Bolesławiec (2)";"ogółem";"mężczyźni";"2020";7369;"osoba";"";
0201022;"Bolesławiec (2)";"ogółem";"kobiety";"2020";7494;"osoba";"";
0201032;"Gromadka (2)";"ogółem";"ogółem";"2020";5317;"osoba";"";
0201032;"Gromadka (2)";"ogółem";"mężczyźni";"2020";2654;"osoba";"";
0201032;"Gromadka (2)";"ogółem";"kobiety";"2020";2663;"osoba";"";
0201043;"Nowogrodziec (3)";"ogółem";"ogółem";"2020";15229;"osoba";"";
0201043;"Nowogrodziec (3)";"ogółem";"mężczyźni";"2020";7553;"osoba";"";
0201043;"Nowogrodziec (3)";"ogółem";"kobiety";"2020";7676;"osoba";"";
0201052;"Osiecznica (2)";"ogółem";"ogółem";"2020";7288;"osoba";"";
0201052;"Osiecznica (2)";"ogółem";"mężczyźni";"2020";3662;"osoba";"";
0201052;"Osiecznica (2)";"ogółem";"kobiety";"2020";3626;"osoba";"";
0201062;"Warta Bolesławiecka (2)";"ogółem";"ogółem";"2020";8579;"osoba";"";
0201062;"Warta Bolesławiecka (2)";"ogółem";"mężczyźni";"2020";4247;"osoba";"";
0201062;"Warta Bolesławiecka (2)";"ogółem";"kobiety";"2020";4332;"osoba";"";
0202011;"Bielawa (1)";"ogółem";"ogółem";"2020";29523;"osoba";"";
0202011;"Bielawa (1)";"ogółem";"mężczyźni";"2020";13795;"osoba";"";
0202011;"Bielawa (1)";"ogółem";"kobiety";"2020";15728;"osoba";"";
0202021;"Dzierżoniów (1)";"ogółem";"ogółem";"2020";32869;"osoba";"";
0202021;"Dzierżoniów (1)";"ogółem";"mężczyźni";"2020";15343;"osoba";"";
0202021;"Dzierżoniów (1)";"ogółem";"kobiety";"2020";17526;"osoba";"";
0202033;"Pieszyce (3)";"ogółem";"ogółem";"2020";9318;"osoba";"";
0202033;"Pieszyce (3)";"ogółem";"mężczyźni";"2020";4520;"osoba";"";
0202033;"Pieszyce (3)";"ogółem";"kobiety";"2020";4798;"osoba";"";
0202041;"Piława Górna (1)";"ogółem";"ogółem";"2020";6364;"osoba";"";
0202041;"Piława Górna (1)";"ogółem";"mężczyźni";"2020";3046;"osoba";"";
0202041;"Piława Górna (1)";"ogółem";"kobiety";"2020";3318;"osoba";"";
0202052;"Dzierżoniów (2)";"ogółem";"ogółem";"2020";9013;"osoba";"";
0202052;"Dzierżoniów (2)";"ogółem";"mężczyźni";"2020";4489;"osoba";"";
0202052;"Dzierżoniów (2)";"ogółem";"kobiety";"2020";4524;"osoba";"";
0202062;"Łagiewniki (2)";"ogółem";"ogółem";"2020";7437;"osoba";"";
0202062;"Łagiewniki (2)";"ogółem";"mężczyźni";"2020";3639;"osoba";"";
0202062;"Łagiewniki (2)";"ogółem";"kobiety";"2020";3798;"osoba";"";
0202073;"Niemcza (3)";"ogółem";"ogółem";"2020";5411;"osoba";"";
0202073;"Niemcza (3)";"ogółem";"mężczyźni";"2020";2725;"osoba";"";
0202073;"Niemcza (3)";"ogółem";"kobiety";"2020";2686;"osoba";"";
0203011;"Głogów (1)";"ogółem";"ogółem";"2020";66120;"osoba";"";
0203011;"Głogów (1)";"ogółem";"mężczyźni";"2020";31798;"osoba";"";
0203011;"Głogów (1)";"ogółem";"kobiety";"2020";34322;"osoba";"";
0203022;"Głogów (2)";"ogółem";"ogółem";"2020";6845;"osoba";"";
0203022;"Głogów (2)";"ogółem";"mężczyźni";"2020";3389;"osoba";"";
0203022;"Głogów (2)";"ogółem";"kobiety";"2020";3456;"osoba";"";
0203032;"Jerzmanowa (2)";"ogółem";"ogółem";"2020";5347;"osoba";"";
0203032;"Jerzmanowa (2)";"ogółem";"mężczyźni";"2020";2674;"osoba";"";
0203032;"Jerzmanowa (2)";"ogółem";"kobiety";"2020";2673;"osoba";"";
0203042;"Kotla (2)";"ogółem";"ogółem";"2020";4456;"osoba";"";
0203042;"Kotla (2)";"ogółem";"mężczyźni";"2020";2231;"osoba";"";
0203042;"Kotla (2)";"ogółem";"kobiety";"2020";2225;"osoba";"";
0203052;"Pęcław (2)";"ogółem";"ogółem";"2020";2210;"osoba";"";
0203052;"Pęcław (2)";"ogółem";"mężczyźni";"2020";1124;"osoba";"";
0203052;"Pęcław (2)";"ogółem";"kobiety";"2020";1086;"osoba";"";
0203062;"Żukowice (2)";"ogółem";"ogółem";"2020";3469;"osoba";"";
0203062;"Żukowice (2)";"ogółem";"mężczyźni";"2020";1763;"osoba";"";
0203062;"Żukowice (2)";"ogółem";"kobiety";"2020";1706;"osoba";"";
0204013;"Góra (3)";"ogółem";"ogółem";"2020";19720;"osoba";"";
0204013;"Góra (3)";"ogółem";"mężczyźni";"2020";9714;"osoba";"";
0204013;"Góra (3)";"ogółem";"kobiety";"2020";10006;"osoba";"";
0204022;"Jemielno (2)";"ogółem";"ogółem";"2020";2967;"osoba";"";
0204022;"Jemielno (2)";"ogółem";"mężczyźni";"2020";1498;"osoba";"";
0204022;"Jemielno (2)";"ogółem";"kobiety";"2020";1469;"osoba";"";
0204032;"Niechlów (2)";"ogółem";"ogółem";"2020";4801;"osoba";"";
0204032;"Niechlów (2)";"ogółem";"mężczyźni";"2020";2371;"osoba";"";
0204032;"Niechlów (2)";"ogółem";"kobiety";"2020";2430;"osoba";"";
0204043;"Wąsosz (3)";"ogółem";"ogółem";"2020";7064;"osoba";"";
0204043;"Wąsosz (3)";"ogółem";"mężczyźni";"2020";3507;"osoba";"";
0204043;"Wąsosz (3)";"ogółem";"kobiety";"2020";3557;"osoba";"";
0205011;"Jawor (1)";"ogółem";"ogółem";"2020";22462;"osoba";"";
0205011;"Jawor (1)";"ogółem";"mężczyźni";"2020";10749;"osoba";"";
