"Kod";"Nazwa";"Zakres przedmiotowy";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2000";0,0;"%";"x";
0000000;"POLSKA";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2001";0,0;"%";"x";
0000000;"POLSKA";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2002";0,0;"%";"x";
0000000;"POLSKA";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2003";0,0;"%";"x";
0000000;"POLSKA";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2004";105,0;"%";"";
0000000;"POLSKA";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2005";103,6;"%";"";
0000000;"POLSKA";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2006";106,2;"%";"";
0000000;"POLSKA";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2007";107,1;"%";"";
0000000;"POLSKA";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2008";104,2;"%";"";
0000000;"POLSKA";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2009";102,7;"%";"";
0000000;"POLSKA";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2010";103,6;"%";"";
0000000;"POLSKA";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2011";104,7;"%";"";
0000000;"POLSKA";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2012";101,3;"%";"";
0000000;"POLSKA";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2013";101,2;"%";"";
0000000;"POLSKA";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2014";103,4;"%";"";
0000000;"POLSKA";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2015";104,3;"%";"";
0000000;"POLSKA";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2016";103,2;"%";"";
0000000;"POLSKA";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2017";104,8;"%";"";
0000000;"POLSKA";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2018";105,4;"%";"";
0000000;"POLSKA";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2019";104,8;"%";"";
0000000;"POLSKA";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2020";0,0;"%";"n";
0000000;"POLSKA";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2021";;"%";"n";
0200000;"DOLNOŚLĄSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2000";0,0;"%";"x";
0200000;"DOLNOŚLĄSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2001";0,0;"%";"x";
0200000;"DOLNOŚLĄSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2002";0,0;"%";"x";
0200000;"DOLNOŚLĄSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2003";0,0;"%";"x";
0200000;"DOLNOŚLĄSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2004";102,9;"%";"";
0200000;"DOLNOŚLĄSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2005";105,8;"%";"";
0200000;"DOLNOŚLĄSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2006";102,7;"%";"";
0200000;"DOLNOŚLĄSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2007";109,5;"%";"";
0200000;"DOLNOŚLĄSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2008";104,5;"%";"";
0200000;"DOLNOŚLĄSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2009";102,3;"%";"";
0200000;"DOLNOŚLĄSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2010";104,9;"%";"";
0200000;"DOLNOŚLĄSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2011";105,8;"%";"";
0200000;"DOLNOŚLĄSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2012";101,7;"%";"";
0200000;"DOLNOŚLĄSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2013";100,1;"%";"";
0200000;"DOLNOŚLĄSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2014";103,3;"%";"";
0200000;"DOLNOŚLĄSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2015";103,9;"%";"";
0200000;"DOLNOŚLĄSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2016";102,4;"%";"";
0200000;"DOLNOŚLĄSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2017";104,7;"%";"";
0200000;"DOLNOŚLĄSKIE";"dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100";"2018";104,9;"%";"";
