rok;region;kraj;plec;nadwaga
2016;EMR;AFG;BTSX;5.5
2016;EMR;AFG;FMLE;7.6
2016;EMR;AFG;MLE;3.2
2015;EMR;AFG;BTSX;5.2
2015;EMR;AFG;FMLE;7.3
2015;EMR;AFG;MLE;3.0
2014;EMR;AFG;BTSX;4.9
2014;EMR;AFG;FMLE;7.0
2014;EMR;AFG;MLE;2.8
2013;EMR;AFG;BTSX;4.7
2013;EMR;AFG;FMLE;6.6
2013;EMR;AFG;MLE;2.7
2012;EMR;AFG;BTSX;4.4
2012;EMR;AFG;FMLE;6.3
2012;EMR;AFG;MLE;2.5
2011;EMR;AFG;BTSX;4.2
2011;EMR;AFG;FMLE;6.0
2011;EMR;AFG;MLE;2.4
2010;EMR;AFG;BTSX;4.0
2010;EMR;AFG;FMLE;5.7
2010;EMR;AFG;MLE;2.2
2009;EMR;AFG;BTSX;3.8
2009;EMR;AFG;FMLE;5.4
2009;EMR;AFG;MLE;2.1
2008;EMR;AFG;BTSX;3.6
2008;EMR;AFG;FMLE;5.2
2008;EMR;AFG;MLE;2.0
2007;EMR;AFG;BTSX;3.4
2007;EMR;AFG;FMLE;4.9
2007;EMR;AFG;MLE;1.8
2006;EMR;AFG;BTSX;3.2
2006;EMR;AFG;FMLE;4.7
2006;EMR;AFG;MLE;1.7
2005;EMR;AFG;BTSX;3.0
2005;EMR;AFG;FMLE;4.4
2005;EMR;AFG;MLE;1.6
2004;EMR;AFG;BTSX;2.9
2004;EMR;AFG;FMLE;4.2
2004;EMR;AFG;MLE;1.5
2003;EMR;AFG;BTSX;2.7
2003;EMR;AFG;FMLE;4.0
2003;EMR;AFG;MLE;1.4
2002;EMR;AFG;BTSX;2.6
2002;EMR;AFG;FMLE;3.8
2002;EMR;AFG;MLE;1.3
2001;EMR;AFG;BTSX;2.4
2001;EMR;AFG;FMLE;3.6
2001;EMR;AFG;MLE;1.3
2000;EMR;AFG;BTSX;2.3
2000;EMR;AFG;FMLE;3.4
2000;EMR;AFG;MLE;1.2
1999;EMR;AFG;BTSX;2.2
1999;EMR;AFG;FMLE;3.2
1999;EMR;AFG;MLE;1.1
1998;EMR;AFG;BTSX;2.1
1998;EMR;AFG;FMLE;3.0
1998;EMR;AFG;MLE;1.0
1997;EMR;AFG;BTSX;1.9
1997;EMR;AFG;FMLE;2.9
1997;EMR;AFG;MLE;1.0
1996;EMR;AFG;BTSX;1.8
1996;EMR;AFG;FMLE;2.7
1996;EMR;AFG;MLE;0.9
1995;EMR;AFG;BTSX;1.7
1995;EMR;AFG;FMLE;2.6
1995;EMR;AFG;MLE;0.8
1994;EMR;AFG;BTSX;1.6
1994;EMR;AFG;FMLE;2.4
1994;EMR;AFG;MLE;0.8
1993;EMR;AFG;BTSX;1.5
1993;EMR;AFG;FMLE;2.3
1993;EMR;AFG;MLE;0.7
1992;EMR;AFG;BTSX;1.5
1992;EMR;AFG;FMLE;2.2
1992;EMR;AFG;MLE;0.7
1991;EMR;AFG;BTSX;1.4
1991;EMR;AFG;FMLE;2.1
1991;EMR;AFG;MLE;0.6
1990;EMR;AFG;BTSX;1.3
1990;EMR;AFG;FMLE;1.9
1990;EMR;AFG;MLE;0.6
1989;EMR;AFG;BTSX;1.2
1989;EMR;AFG;FMLE;1.8
1989;EMR;AFG;MLE;0.6
1988;EMR;AFG;BTSX;1.2
1988;EMR;AFG;FMLE;1.7
1988;EMR;AFG;MLE;0.5
1987;EMR;AFG;BTSX;1.1
1987;EMR;AFG;FMLE;1.6
1987;EMR;AFG;MLE;0.5
1986;EMR;AFG;BTSX;1.0
1986;EMR;AFG;FMLE;1.5
1986;EMR;AFG;MLE;0.4
1985;EMR;AFG;BTSX;1.0
1985;EMR;AFG;FMLE;1.5
1985;EMR;AFG;MLE;0.4
1984;EMR;AFG;BTSX;0.9
1984;EMR;AFG;FMLE;1.4
1984;EMR;AFG;MLE;0.4
1983;EMR;AFG;BTSX;0.8
1983;EMR;AFG;FMLE;1.3
